801091147,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Level (AI_1),Level (AI_2),Level (AI_4),Level (AI_5),FlowMeter Total (DI_1),FlowMeter Total (DI_2),FlowMeter Total (DI_3),FlowMeter Total (DI_4)
,Blr1 TDS,Blr 2 TDS,WT-3459,WT-3730,WT-3516,PP-3060M,Blr 1 FW Meter,Blr 2 FW Meter,RO Make Up,Boiler Make Up
,µS,µS,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons
11/10/2011 11:38,946.94,947.09,117,145,113,140,122198728,93978064,13349788,9947484
11/10/2011 11:48,946.94,939.57,117,145,113,140,122199320,93978464,13349823,9947573
11/10/2011 11:58,946.94,939.57,117,145,113,140,122199920,93978840,13350007,9947663
11/10/2011 12:08,946.94,939.57,117,145,113,140,122200512,93979224,13350186,9947663
11/10/2011 12:18,946.94,939.57,117,145,113,140,122201120,93979568,13350363,9947790
11/10/2011 12:28,804.42,939.57,117,145,113,140,122201712,93979880,13350482,9947871
11/10/2011 12:38,969.63,939.57,117,144,113,140,122202336,93980216,13350482,9948022
11/10/2011 12:48,967.67,939.57,117,145,113,139,122202968,93980544,13350482,9948198
11/10/2011 12:58,947.44,939.57,117,144,113,139,122203600,93980856,13350482,9948354
11/10/2011 13:08,947.44,939.57,117,144,113,139,122204200,93981176,13350482,9948473
11/10/2011 13:18,947.44,939.57,117,145,113,139,122204768,93981488,13350482,9948560
11/10/2011 13:28,947.44,939.57,117,145,113,139,122205336,93981808,13350482,9948612
11/10/2011 13:38,947.44,939.57,117,145,113,139,122205904,93982112,13350482,9948662
11/10/2011 13:48,947.44,976.25,117,145,113,139,122206472,93982432,13350482,9948720
11/10/2011 13:58,947.44,942.99,117,145,113,139,122207040,93982792,13350619,9948840
11/10/2011 14:08,947.44,942.99,117,145,113,139,122207624,93983088,13350736,9948910
11/10/2011 14:18,947.44,942.99,117,145,113,139,122208184,93983376,13350919,9948970
11/10/2011 14:28,947.44,942.99,117,144,113,139,122208752,93983672,13351117,9949041
11/10/2011 14:38,947.44,942.99,117,145,113,139,122209320,93983944,13351311,9949105
11/10/2011 14:48,947.44,942.99,117,145,113,139,122209888,93984224,13351505,9949138
11/10/2011 14:58,1321.54,942.99,117,145,113,139,122210448,93984480,13351707,9949203
11/10/2011 15:08,548.57,942.99,117,145,113,139,122211056,93984768,13351801,9949279
11/10/2011 15:18,517.74,942.99,117,144,113,139,122211704,93985064,13351801,9949409
11/10/2011 15:28,479.16,942.99,115,145,113,139,122212336,93985360,13351801,9949596
11/10/2011 15:38,689.24,942.99,115,144,113,139,122212968,93985648,13351801,9949711
11/10/2011 15:48,950.09,942.99,117,145,113,139,122213600,93985944,13351801,9949869
11/10/2011 15:58,949.34,1043.18,116,144,113,139,122214192,93986240,13351801,9949984
11/10/2011 16:08,949.34,953.09,117,144,113,139,122214752,93986584,13351904,9950143
