 0910050301,,,,,,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Sensor3 (S3),Sensor4 (S4),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature3 (S3),Level(AI_1),Level(AI_2),Level(AI_3),Paddlewheel FlowMeter Rate(DI_6),Contact FlowMeter Total(DI_1),Contact FlowMeter Total(DI_2),Contact FlowMeter Total(DI_3),Paddlewheel FlowMeter Total(DI_6)
,Blr1 TDS,Blr2 TDS,Blr3 TDS,Sensor4,Blr1 TDS,Blr2 TDS,Blr3 TDS,PP3060M,WT3459,CQ3535,Boiler MU,CQ-3535,WT-3459,PP-3060M,Boiler MU
,µS,µS,µS,,F,F,F,Gallons,Gallons,Gallons,GPM,Gallons,Gallons,Gallons,Gallons
11/1/2011 16:34,2225.91,1993.84,27.21,     N/A,292,299,156,78,53,55,32.56,0.04,0.99,0.29,24070.18
11/1/2011 16:54,1994.65,1917.56,27.21,     N/A,333,329,156,78,53,55,34.03,0.04,1.02,0.29,24586.29
11/1/2011 17:14,1994.65,1993.8,27.21,     N/A,333,328,156,78,53,55,33.29,0.04,1.04,0.3,25062.06
11/1/2011 17:34,1994.65,1993.8,27.21,     N/A,333,328,156,78,53,55,31.71,0.04,1.06,0.3,25538.37
11/1/2011 17:54,1979.01,1993.8,27.21,     N/A,331,328,156,78,53,55,32.56,0.05,1.08,0.31,26019.28
11/1/2011 18:14,1979.01,1999.26,27.21,     N/A,331,300,156,78,53,55,30.97,0.05,1.1,0.32,26532.16
11/1/2011 18:34,1979.01,1999.26,27.21,     N/A,331,300,156,78,53,55,32.46,0.05,1.12,0.32,26996.01
11/1/2011 18:54,1996.38,1999.26,27.21,     N/A,335,300,156,78,53,55,31.71,0.05,1.15,0.33,27489.67
11/1/2011 19:14,1994.63,2159,27.21,     N/A,332,281,156,78,53,55,31.71,0.05,1.17,0.33,27963.7
11/1/2011 19:34,1994.63,1992.51,27.21,     N/A,332,302,156,78,53,55,34.03,0.05,1.19,0.34,28479.88
11/1/2011 19:54,1994.63,1992.51,27.21,     N/A,332,302,156,78,53,55,31.71,0.05,1.21,0.35,28917.02
11/1/2011 20:14,1984.15,1992.51,27.21,     N/A,332,302,156,78,53,55,0,0.05,1.23,0.35,29377.63
11/1/2011 20:34,1984.15,2024.52,27.21,     N/A,332,298,156,78,53,55,31.71,0.05,1.25,0.36,29823.5
11/1/2011 20:54,1984.15,1783.86,27.21,     N/A,332,302,156,78,53,55,30.97,0.06,1.27,0.37,30331.41
11/1/2011 21:14,1980.25,1993.35,27.21,     N/A,331,302,156,78,53,55,0,0.06,1.29,0.37,30813.69
11/1/2011 21:34,1980.25,1993.35,21.76,     N/A,331,302,169,78,53,55,33.29,0.06,1.31,0.38,31154.41
11/1/2011 21:54,1980.25,1993.35,21.76,     N/A,331,302,169,78,53,55,0,0.06,1.32,0.38,31410.97
11/1/2011 22:14,1997.36,1760.72,21.76,     N/A,333,305,169,78,53,55,34.03,0.06,1.33,0.38,31704.88
11/1/2011 22:34,1987.29,1978.41,21.76,     N/A,334,304,169,78,53,55,5.39,0.06,1.35,0.39,31959.38
11/1/2011 22:54,1987.29,1978.41,21.76,     N/A,334,304,169,78,53,55,30.97,0.06,1.36,0.39,32325.49
11/1/2011 23:14,1987.29,1978.41,21.76,     N/A,334,304,169,78,53,55,32.56,0.06,1.38,0.4,32836.39
11/1/2011 23:34,1986.33,1990.87,21.76,     N/A,330,301,169,78,53,55,30.23,0.06,1.4,0.4,33339.91
11/1/2011 23:54,1986.33,1990.87,21.76,     N/A,330,301,169,78,53,55,0,0.06,1.42,0.41,33788.85
11/2/2011 0:14,1986.33,1990.87,21.76,     N/A,330,301,169,78,53,55,33.29,0,0.01,0,311.2
